itemid,movies,actors
301,In & Out (1997),"['Kevin Kline', 'Joan Cusack', 'Tom Selleck']"
302,L.A. Confidential (1997),"['Kevin Spacey', 'Russell Crowe', 'Guy Pearce']"
303,Ulee's Gold (1997),"['Peter Fonda', 'Patricia Richardson', 'Christine Dunford']"
304,Fly Away Home (1996),"['Jeff Daniels', 'Anna Paquin', 'Dana Delany']"
305,The Ice Storm (1997),"['Kevin Kline', 'Joan Allen', 'Sigourney Weaver']"
306,Mrs. Mrs. Brown (Her Majesty (1997),"['Judi Dench', 'Billy Connolly', 'Geoffrey Palmer']"
307,The Devil's Advocate (1997),"['Keanu Reeves', 'Al Pacino', 'Charlize Theron']"
308,FairyTale: A True Story (1997),"['Harvey Keitel', 'Jason Salkey', ""Peter O'Toole""]"
309,Deceiver (1997),"['Tim Roth', 'Chris Penn', 'Michael Rooker']"
310,The Rainmaker (1997),"['Matt Damon', 'Danny DeVito', 'Claire Danes']"
311,The Wings of the Dove (1997),"['Helena Bonham Carter', 'Linus Roache', 'Alex Jennings']"
312,Midnight in the Garden of Good and Evil (1997),"['John Cusack', 'Kevin Spacey', 'Jack Thompson']"
313,Titanic (1997),"['Leonardo DiCaprio', 'Kate Winslet', 'Billy Zane']"
314,3 Ninjas: High Noon At Mega Mountain (1998),"['Hulk Hogan', 'Loni Anderson', 'Jim Varney']"
315,Apt Pupil (1998),"['Brad Renfro', 'Ian McKellen', 'Joshua Jackson']"
316,As Good As It Gets (1997),"['Jack Nicholson', 'Helen Hunt', 'Greg Kinnear']"
317,In the Name of the Father (1993),"['Alison Crosbie', 'Philip King', 'Emma Thompson']"
318,Schindler's List (1993),"['Liam Neeson', 'Ben Kingsley', 'Ralph Fiennes']"
319,Everyone Says I Love You (1996),"['Edward Norton', 'Drew Barrymore', 'Diva Gray']"
320,Paradise Lost: The Child Murders at Robin Hood Hills (1996),"['Tony Brooks', 'Diana Davis', 'Terry Wood']"
321,Mother (1996),"['Paul Collins', 'Laura Weekes', 'Albert Brooks']"
322,Murder at 1600 (1997),"['Wesley Snipes', 'Diane Lane', 'Daniel Benzali']"
323,Dante's Peak (1997),"['Pierce Brosnan', 'Linda Hamilton', 'Jamie Renée Smith']"
324,Lost Highway (1997),"['Bill Pullman', 'Patricia Arquette', 'John Roselius']"
325,Crash (1996),"['James Spader', 'Holly Hunter', 'Elias Koteas']"
326,G.I. Jane (1997),"['Demi Moore', 'Viggo Mortensen', 'Anne Bancroft']"
327,Cop Land (1997),"['Sylvester Stallone', 'Harvey Keitel', 'Ray Liotta']"
328,Conspiracy Theory (1997),"['Mel Gibson', 'Julia Roberts', 'Patrick Stewart']"
329,Desperate Measures (1998),"['Michael Keaton', 'Andy Garcia', 'Brian Cox']"
330,187 (1997),"['Samuel L. Jackson', 'John Heard', 'Kelly Rowan']"
331,The Edge (1997),"['Anthony Hopkins', 'Alec Baldwin', 'Elle Macpherson']"
332,Kiss the Girls (1997),"['Morgan Freeman', 'Ashley Judd', 'Cary Elwes']"
333,The Game (1997),"['Michael Douglas', 'Sean Penn', 'Deborah Kara Unger']"
334,U Turn (1997),"['Sean Penn', 'Billy Bob Thornton', 'Abraham Benrubi']"
335,How to Be a Player (1997),"['Bill Bellamy', 'Natalie Desselle Reid', 'Lark Voorhies']"
336,Playing God (1997),"['David Duchovny', 'Timothy Hutton', 'Angelina Jolie']"
337,The House of Yes (1997),"['Parker Posey', 'Josh Hamilton', 'Tori Spelling']"
338,Bean (1997),"['Rowan Atkinson', 'Peter MacNicol', 'John Mills']"
339,Mad City (1997),"['John Travolta', 'Dustin Hoffman', 'Mia Kirshner']"
340,Boogie Nights (1997),"['Luis Guzmán', 'Burt Reynolds', 'Julianne Moore']"
341,Critical Care (1997),"['James Spader', 'Kyra Sedgwick', 'Helen Mirren']"
342,The Man Who Knew Too Little (1997),"['Bill Murray', 'Peter Gallagher', 'Joanne Whalley']"
343,Alien: Resurrection (1997),"['Sigourney Weaver', 'Winona Ryder', 'Dominique Pinon']"
344,The Apostle (1997),"['Todd Allen', 'Paul Bagget', 'Lenore Banks']"
345,Deconstructing Harry (1997),"['Judy Davis', 'Julia Louis-Dreyfus', 'Stephanie Roth Haberle']"
346,Jackie Brown (1997),"['Pam Grier', 'Samuel L. Jackson', 'Robert Forster']"
347,Wag the Dog (1997),"['Dustin Hoffman', 'Robert De Niro', 'Anne Heche']"
348,Desperate Measures (1998),"['Michael Keaton', 'Andy Garcia', 'Brian Cox']"
349,Hard Rain (1998),"['Morgan Freeman', 'Christian Slater', 'Randy Quaid']"
350,Fallen (1998),"['Denzel Washington', 'John Goodman', 'Donald Sutherland']"
351,The Prophecy II (1998),Unknow
352,Spice World (1997),"['Mel B', 'Emma Bunton', 'Melanie C']"
353,Deep Rising (1998),"['Treat Williams', 'Famke Janssen', 'Anthony Heald']"
354,The Wedding Singer (1998),"['Adam Sandler', 'Drew Barrymore', 'Christine Taylor']"
355,Sphere (1998),"['Dustin Hoffman', 'Sharon Stone', 'Samuel L. Jackson']"
356,The Client (1994),"['Susan Sarandon', 'Tommy Lee Jones', 'Mary-Louise Parker']"
357,One Flew Over the Cuckoo's Nest (1975),"['Michael Berryman', 'Peter Brocco', 'Dean R. Brooks']"
358,Spawn (1997),"['Michael Jai White', 'John Leguizamo', 'Martin Sheen']"
359,The Assignment (1997),"['Aidan Quinn', 'Donald Sutherland', 'Ben Kingsley']"
360,Wonderland (1997),"['Bill Griffith', 'John McGarr', 'Eddie Money']"
361,Incognito (1997),"['Jason Patric', 'Irène Jacob', 'Thomas Lockyer']"
362,Blues Brothers 2000 (1998),"['Darin Patterson', 'John Trumbull']"
363,Sudden Death (1995),"['Jean-Claude Van Damme', 'Powers Boothe', 'Raymond J. Barry']"
364,Ace Ventura: When Nature Calls (1995),"['Jim Carrey', 'Ian McNeice', 'Simon Callow']"
365,Powder (1995),"['Mary Steenburgen', 'Sean Patrick Flanery', 'Lance Henriksen']"
366,Dangerous Minds (1995),"['Michelle Pfeiffer', 'George Dzundza', 'Courtney B. Vance']"
367,Clueless (1995),"['Alicia Silverstone', 'Stacey Dash', 'Brittany Murphy']"
368,Bio-Dome (1996),"['William Atherton', 'Denise Dowse', 'Dara Tomanovich']"
369,Black Sheep (1996),"['Chris Farley', 'David Spade', 'Tim Matheson']"
370,Mary Reilly (1996),"['Julia Roberts', 'John Malkovich', 'George Cole']"
371,The Bridges of Madison County (1995),"['Clint Eastwood', 'Meryl Streep', 'Annie Corley']"
372,Jeffrey (1995),"['Steven Weber', 'Peter Jacobson', 'Tom Cayler']"
373,Judge Dredd (1995),"['Sylvester Stallone', 'Armand Assante', 'Rob Schneider']"
374,Mighty Morphin Power Rangers: The Movie (1995),"['Karan Ashley', 'Johnny Yong Bosch', 'Steve Cardenas']"
375,Showgirls (1995),"['Elizabeth Berkley', 'Kyle MacLachlan', 'Gina Gershon']"
376,Houseguest (1994),"['Sinbad', 'Phil Hartman', 'Kim Greist']"
377,Heavyweights (1994),"['David Goldman', 'Joseph Wayne Miller', 'Cody Burger']"
378,Miracle on 34th Street (1994),"['Richard Attenborough', 'Elizabeth Perkins', 'Dylan McDermott']"
379,Tales From the Crypt Presents: Demon Knight (1995),"['Jada Pinkett Smith', 'Brenda Bakke', 'CCH Pounder']"
380,Star Trek: Generations (1994),"['Patrick Stewart', 'Jonathan Frakes', 'Brent Spiner']"
381,Muriel's Wedding (1994),"['Sophie Lee', 'Roz Hammond', 'Toni Collette']"
382,Queen Adventures of Priscilla Desert,"['Hugo Weaving', 'Guy Pearce', 'Terence Stamp']"
383,The Flintstones (1994),"['John Goodman', 'Elizabeth Perkins', 'Rick Moranis']"
384,Naked Gun 33 1/3: The Final Insult (1994),"['Leslie Nielsen', 'Priscilla Presley', 'George Kennedy']"
385,True Lies (1994),"['Arnold Schwarzenegger', 'Jamie Lee Curtis', 'Tom Arnold']"
386,Addams Family Values (1993),"['Anjelica Huston', 'Raul Julia', 'Christopher Lloyd']"
387,The Age of Innocence (1993),"['Daniel Day-Lewis', 'Michelle Pfeiffer', 'Winona Ryder']"
388,Beverly Hills Cop III (1994),"['Eddie Murphy', 'Jon Tenney', 'Joey Travolta']"
389,Black Beauty (1994),"['Docs Keepin Time', 'Alan Cumming', 'Sean Bean']"
390,Fear of a Black Hat (1993),"['Mark Christopher Lawrence', 'Larry B. Scott', 'Rusty Cundieff']"
391,Last Action Hero (1993),"['Arnold Schwarzenegger', 'F. Murray Abraham', 'Art Carney']"
392,The Man Without a Face (1993),"['Mel Gibson', 'Nick Stahl', 'Margaret Whitton']"
393,Mrs. Doubtfire (1993),"['Robin Williams', 'Sally Field', 'Pierce Brosnan']"
394,Radioland Murders (1994),"['Brian Benben', 'Mary Stuart Masterson', 'Ned Beatty']"
395,Robin Hood: Men in Tights (1993),"['Cary Elwes', 'Richard Lewis', 'Roger Rees']"
396,Serial Mom (1994),"['Kathleen Turner', 'Sam Waterston', 'Ricki Lake']"
397,Striking Distance (1993),"['Bruce Willis', 'Sarah Jessica Parker', 'Dennis Farina']"
398,Super Mario Bros. (1993),"['Bob Hoskins', 'John Leguizamo', 'Dennis Hopper']"
399,The Three Musketeers (1993),"['Charlie Sheen', 'Kiefer Sutherland', ""Chris O'Donnell""]"
400,The Little Rascals (1994),"['Travis Tedford', 'Kevin Jamal Woods', 'Jordan Warkol']"
401,The Brady Bunch Movie (1995),"['Shelley Long', 'Gary Cole', 'Christine Taylor']"
402,Ghost (1990),"['Patrick Swayze', 'Demi Moore', 'Tony Goldwyn']"
403,Batman (1989),"['Michael Keaton', 'Jack Nicholson', 'Kim Basinger']"
404,Pinocchio (1940),"['Mel Blanc', 'Don Brodie', 'Stuart Buchanan']"
405,Mission: Impossible (1996),"['Tom Cruise', 'Jon Voight', 'Emmanuelle Béart']"
406,Thinner (1996),"['Robert John Burke', 'Lucinda Jenney', 'Bethany Joy Lenz']"
407,Spy Hard (1996),"['Leslie Nielsen', 'Nicollette Sheridan', 'Charles Durning']"
408,A Close Shave (1995),"['Peter Sallis', 'Anne Reid', 'Justin Fletcher']"
409,Jack (1996),"['Robin Williams', 'Diane Lane', 'Brian Kerwin']"
410,Kingpin (1996),"['Woody Harrelson', 'Randy Quaid', 'Vanessa Angel']"
411,The Nutty Professor (1996),"['Eddie Murphy', 'Jada Pinkett Smith', 'James Coburn']"
412,A Very Brady Sequel (1996),"['Shelley Long', 'Gary Cole', 'Christopher Daniel Barnes']"
413,Tales from the Crypt Presents: Bordello of Blood (1996),"['Ken Krantz', 'Darin Patterson', 'John Trumbull']"
414,My Favorite Year (1982),"[""Peter O'Toole"", 'Mark Linn-Baker', 'Jessica Harper']"
415,The Apple Dumpling Gang (1975),"['Bill Bixby', 'Susan Clark', 'Don Knotts']"
416,Old Yeller (1957),"['Dorothy McGuire', 'Fess Parker', 'Jeff York']"
417,The Parent Trap (1961),"['Hayley Mills', ""Maureen O'Hara"", 'Brian Keith']"
418,Cinderella (1950),"['Ilene Woods', 'Eleanor Audley', 'Verna Felton']"
419,Mary Poppins (1964),"['Julie Andrews', 'Dick Van Dyke', 'David Tomlinson']"
420,Alice in Wonderland (1951),"['Kathryn Beaumont', 'Ed Wynn', 'Richard Haydn']"
421,William Shakespeare's Romeo and Juliet (1996),"['Leonardo DiCaprio', 'Claire Danes', 'John Leguizamo']"
422,Aladdin and the King of Thieves (1996),"['Val Bettin', 'Jim Cummings', 'Gilbert Gottfried']"
423,E.T. the Extra-Terrestrial (1982),"['Dee Wallace', 'Henry Thomas', 'Peter Coyote']"
424,Children of the Corn: The Gathering (1996),"['Naomi Watts', 'Jamie Renée Smith', 'Karen Black']"
425,Bob Roberts (1992),"['Tim Robbins', 'Giancarlo Esposito', 'Alan Rickman']"
426,The Transformers: The Movie (1986),"['Norman Alden', 'Jack Angel', 'Michael Bell']"
427,To Kill a Mockingbird (1962),"['Gregory Peck', 'John Megna', 'Frank Overton']"
428,Harold and Maude (1971),"['Ruth Gordon', 'Bud Cort', 'Vivian Pickles']"
429,The Day the Earth Stood Still (1951),"['Michael Rennie', 'Patricia Neal', 'Hugh Marlowe']"
430,Duck Soup (1933),"['The Marx Brothers', 'Groucho Marx', 'Harpo Marx']"
431,Highlander (1986),"['Christopher Lambert', 'Roxanne Hart', 'Clancy Brown']"
432,Fantasia (1940),"['Deems Taylor', 'Leopold Stokowski', 'The Philadelphia Orchestra']"
433,Heathers (1989),Unknow
434,Forbidden Planet (1956),"['Walter Pidgeon', 'Anne Francis', 'Leslie Nielsen']"
435,Butch Cassidy and the Sundance Kid (1969),"['Paul Newman', 'Robert Redford', 'Katharine Ross']"
436,An American Werewolf in London (1981),"['Joe Belcher', 'David Naughton', 'Griffin Dunne']"
437,Amityville 1992: It's About Time (1992),"['Stephen Macht', 'Shawn Weatherly', 'Megan Ward']"
438,Amityville 3-D (1983),"['Tony Roberts', 'Tess Harper', 'Robert Joy']"
439,Amityville: A New Generation (1993),"['Ross Partridge', 'Julia Nickson', 'Lala Sloatman']"
440,Amityville II: The Possession (1982),"['James Olson', 'Burt Young', 'Rutanya Alda']"
441,The Amityville Horror (1979),"['James Brolin', 'Margot Kidder', 'Rod Steiger']"
442,The Amityville Curse (1990),Unknow
443,The Birds (1963),"['Rod Taylor', 'Jessica Tandy', 'Suzanne Pleshette']"
444,The Blob (1958),['Unknow']
445,The Body Snatcher (1945),Unknow
446,Burnt Offerings (1976),"['Karen Black', 'Oliver Reed', 'Burgess Meredith']"
447,Carrie (1976),"['Sissy Spacek', 'Piper Laurie', 'Amy Irving']"
448,The Omen (1976),"['Gregory Peck', 'Lee Remick', 'David Warner']"
449,Star Trek: The Motion Picture (1979),"['William Shatner', 'Leonard Nimoy', 'DeForest Kelley']"
450,Star Trek V: The Final Frontier (1989),"['William Shatner', 'Leonard Nimoy', 'DeForest Kelley']"
451,Grease (1978),"['John Travolta', 'Olivia Newton-John', 'Stockard Channing']"
452,Jaws 2 (1978),"['Roy Scheider', 'Lorraine Gary', 'Murray Hamilton']"
453,Jaws 3-D (1983),"['Dennis Quaid', 'Bess Armstrong', 'Simon MacCorkindale']"
454,Bastard Out of Carolina (1996),"['Jennifer Jason Leigh', 'Ron Eldard', 'Glenne Headly']"
455,Jackie Chan's First Strike (1996),"['Jackie Chan', 'Jackson Lou', 'Annie Wu']"
456,Beverly Hills Ninja (1997),"['Chris Farley', 'Nicollette Sheridan', 'Robin Shou']"
457,Free Willy 3: The Rescue (1997),"['Jason James Richter', 'August Schellenberg', 'Annie Corley']"
458,Nixon (1995),"['Anthony Hopkins', 'Joan Allen', 'Powers Boothe']"
459,the Cry (1995),"['James Earl Jones', 'Richard Harris', 'Vusi Kunene']"
460,The Crossing Guard (1995),"['Jack Nicholson', 'David Morse', 'Anjelica Huston']"
461,Smoke (1995),"['Giancarlo Esposito', 'José Zúñiga', 'Stephen Gevedon']"
462,Like Water For Chocolate (Como agua para chocolate) (1992),"['Marco Leonardi', 'Lumi Cavazos', 'Regina Torné']"
463,The Secret of Roan Inish (1994),"['Jeni Courtney', 'Pat Slowey', 'Dave Duffy']"
464,Vanya on 42nd Street (1994),"['Phoebe Brand', 'Lynn Cohen', 'George Gaynes']"
465,The Jungle Book (1994),"['Jason Scott Lee', 'Cary Elwes', 'Lena Headey']"
466,Red Rock West (1992),"['Nicolas Cage', 'Craig Reay', 'Vance Johnson']"
467,A Bronx Tale (1993),"['Robert De Niro', 'Chazz Palminteri', 'Lillo Brancato']"
468,Rudy (1993),"['Sean Astin', 'Jon Favreau', 'Ned Beatty']"
469,Short Cuts (1993),"['Andie MacDowell', 'Bruce Davison', 'Jack Lemmon']"
470,Tombstone (1993),"['Kurt Russell', 'Val Kilmer', 'Sam Elliott']"
471,Courage Under Fire (1996),"['Denzel Washington', 'Meg Ryan', 'Lou Diamond Phillips']"
472,Dragonheart (1996),"['Dennis Quaid', 'David Thewlis', 'Pete Postlethwaite']"
473,James and the Giant Peach (1996),"['Simon Callow', 'Richard Dreyfuss', 'Jane Leeves']"
474,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),"['Peter Sellers', 'George C. Scott', 'Sterling Hayden']"
475,Trainspotting (1996),"['Ewan McGregor', 'Ewen Bremner', 'Jonny Lee Miller']"
476,The First Wives Club (1996),"['Goldie Hawn', 'Bette Midler', 'Diane Keaton']"
477,Matilda (1996),"['Mara Wilson', 'Danny DeVito', 'Rhea Perlman']"
478,The Philadelphia Story (1940),"['Cary Grant', 'Katharine Hepburn', 'James Stewart']"
479,Vertigo (1958),"['James Stewart', 'Kim Novak', 'Barbara Bel Geddes']"
480,North by Northwest (1959),"['Cary Grant', 'Eva Marie Saint', 'James Mason']"
481,The Apartment (1960),"['Jack Lemmon', 'Shirley MacLaine', 'Fred MacMurray']"
482,Some Like It Hot (1959),"['Marilyn Monroe', 'Tony Curtis', 'Jack Lemmon']"
483,Casablanca (1942),"['Humphrey Bogart', 'Ingrid Bergman', 'Paul Henreid']"
484,The Maltese Falcon (1941),"['Humphrey Bogart', 'Mary Astor', 'Gladys George']"
485,My Fair Lady (1964),"['Audrey Hepburn', 'Rex Harrison', 'Stanley Holloway']"
486,Sabrina (1954),"['Humphrey Bogart', 'Audrey Hepburn', 'William Holden']"
487,Roman Holiday (1953),"['Gregory Peck', 'Audrey Hepburn', 'Eddie Albert']"
488,Sunset Blvd. (1950),"['William Holden', 'Gloria Swanson', 'Erich von Stroheim']"
489,Notorious (1946),"['Cary Grant', 'Ingrid Bergman', 'Claude Rains']"
490,To Catch a Thief (1955),"['Cary Grant', 'Grace Kelly', 'Jessie Royce Landis']"
491,The Adventures of Robin Hood (1938),"['Errol Flynn', 'Olivia de Havilland', 'Basil Rathbone']"
492,East of Eden (1955),"['Julie Harris', 'James Dean', 'Raymond Massey']"
493,The Thin Man (1934),"['William Powell', 'Myrna Loy', ""Maureen O'Sullivan""]"
494,His Girl Friday (1940),"['Cary Grant', 'Rosalind Russell', 'Ralph Bellamy']"
495,Around the World in 80 Days (1956),"['Cantinflas', 'Finlay Currie', 'Robert Morley']"
496,It's a Wonderful Life (1946),"['James Stewart', 'Donna Reed', 'Lionel Barrymore']"
497,Bringing Up Baby (1938),"['Katharine Hepburn', 'Cary Grant', 'Charles Ruggles']"
498,The African Queen (1951),"['Humphrey Bogart', 'Katharine Hepburn', 'Robert Morley']"
499,Cat on a Hot Tin Roof (1958),"['Elizabeth Taylor', 'Paul Newman', 'Burl Ives']"
500,Fly Away Home (1996),"['Jeff Daniels', 'Anna Paquin', 'Dana Delany']"
501,Dumbo (1941),"['Herman Bing', 'Billy Bletcher', 'Edward Brophy']"
502,Bananas (1971),"['Woody Allen', 'Louise Lasser', 'Carlos Montalbán']"
503,The Candidate (1972),"['Robert Redford', 'Peter Boyle', 'Melvyn Douglas']"
504,Bonnie and Clyde (1967),"['Warren Beatty', 'Faye Dunaway', 'Michael J. Pollard']"
505,Dial M for Murder (1954),"['Ray Milland', 'Grace Kelly', 'Robert Cummings']"
506,Rebel Without a Cause (1955),"['James Dean', 'Natalie Wood', 'Sal Mineo']"
507,A Streetcar Named Desire (1951),"['Vivien Leigh', 'Marlon Brando', 'Kim Hunter']"
508,The People vs. Larry Flynt (1996),"['Woody Harrelson', 'Courtney Love', 'Edward Norton']"
509,My Left Foot (1989),"['Daniel Day-Lewis', 'Brenda Fricker', 'Alison Whelan']"
510,The Magnificent Seven (1954),"['Denzel Washington', 'Chris Pratt', 'Ethan Hawke']"
511,Lawrence of Arabia (1962),"[""Peter O'Toole"", 'Alec Guinness', 'Anthony Quinn']"
512,Wings of Desire (1987),"['Bruno Ganz', 'Solveig Dommartin', 'Otto Sander']"
513,The Third Man (1949),"['Joseph Cotten', 'Alida Valli', 'Orson Welles']"
514,Annie Hall (1977),"['Woody Allen', 'Diane Keaton', 'Tony Roberts']"
515,Das Boot (1981),"['Jürgen Prochnow', 'Herbert Grönemeyer', 'Klaus Wennemann']"
516,Local Hero (1983),['Unknow']
517,Manhattan (1979),"['Woody Allen', 'Diane Keaton', 'Michael Murphy']"
518,Miller's Crossing (1990),"['Gabriel Byrne', 'Marcia Gay Harden', 'John Turturro']"
519,The Treasure of the Sierra Madre (1948),"['Humphrey Bogart', 'Walter Huston', 'Tim Holt']"
520,The Great Escape (1963),"['Steve McQueen', 'James Garner', 'Richard Attenborough']"
521,The Deer Hunter (1978),"['Robert De Niro', 'John Cazale', 'John Savage']"
522,Down by Law (1986),"['Tom Waits', 'John Lurie', 'Roberto Benigni']"
523,Cool Hand Luke (1967),"['Paul Newman', 'George Kennedy', 'J.D. Cannon']"
524,The Great Dictator (1940),"['Charles Chaplin', 'Jack Oakie', 'Reginald Gardiner']"
525,The Big Sleep (1946),"['Humphrey Bogart', 'Lauren Bacall', 'John Ridgely']"
526,Ben-Hur (1959),"['Charlton Heston', 'Jack Hawkins', 'Haya Harareet']"
527,Gandhi (1982),"['Ben Kingsley', 'Rohini Hattangadi', 'Roshan Seth']"
528,The Killing Fields (1984),"['Sam Waterston', 'Haing S. Ngor', 'John Malkovich']"
529,My Life as a Dog (Mitt liv som hund) (1985),['Unknow']
530,The Man Who Would Be King (1975),"['Sean Connery', 'Michael Caine', 'Christopher Plummer']"
531,Shine (1996),"['Geoffrey Rush', 'Justin Braine', 'Sonia Todd']"
532,Kama Sutra: A Tale of Love (1996),"['Indira Varma', 'Sarita Choudhury', 'Ramon Tikaram']"
533,The Daytrippers (1996),"['Stanley Tucci', 'Hope Davis', 'Pat McNamara']"
534,Traveller (1997),"['Bill Paxton', 'Mark Wahlberg', 'Julianna Margulies']"
535,Addicted to Love (1997),"['Meg Ryan', 'Matthew Broderick', 'Kelly Preston']"
536,Ponette (1996),"['Victoire Thivisol', 'Delphine Schiltz', 'Matiaz Bureau Caton']"
537,My Own Private Idaho (1991),"['River Phoenix', 'Keanu Reeves', 'James Russo']"
538,Anastasia (1997),"['Meg Ryan', 'John Cusack', 'Kelsey Grammer']"
539,Mouse Hunt (1997),"['Nathan Lane', 'Lee Evans', 'Vicki Lewis']"
540,Money Train (1995),"['Wesley Snipes', 'Woody Harrelson', 'Jennifer Lopez']"
541,Mortal Kombat (1995),"['Christopher Lambert', 'Robin Shou', 'Linden Ashby']"
542,Pocahontas (1995),"['Joe Baker', 'Christian Bale', 'Irene Bedard']"
543,Les Misérables (1995),"['Jean-Paul Belmondo', 'Michel Boujenah', 'Alessandra Martines']"
544,Things to Do in Denver when You're Dead (1995),"['Andy Garcia', 'Christopher Lloyd', 'William Forsythe']"
545,Vampire in Brooklyn (1995),"['Eddie Murphy', 'Angela Bassett', 'Allen Payne']"
546,Broken Arrow (1996),"['John Travolta', 'Christian Slater', 'Samantha Mathis']"
547,The Young Poisoner's Handbook (1995),"['Tobias Arnold', 'Ruth Sheen', 'Roger Lloyd Pack']"
548,The NeverEnding Story III (1994),"['Jason James Richter', 'Melody Kay', 'Jack Black']"
549,Rob Roy (1995),"['Liam Neeson', 'Jessica Lange', 'John Hurt']"
550,Die Hard: With a Vengeance (1995),"['Bruce Willis', 'Jeremy Irons', 'Samuel L. Jackson']"
551,Lord of Illusions (1995),"['J. Trevor Edmond', 'Daniel von Bargen', ""Kevin J. O'Connor""]"
552,Species (1995),"['Ben Kingsley', 'Michael Madsen', 'Alfred Molina']"
553,A Walk in the Clouds (1995),"['Keanu Reeves', 'Aitana Sánchez-Gijón', 'Anthony Quinn']"
554,Waterworld (1995),"['Kevin Costner', 'Chaim Jeraffi', 'Rick Aviles']"
555,White Man's Burden (1995),"['John Travolta', 'Harry Belafonte', 'Kelly Lynch']"
556,Wild Bill (1995),"['Jeff Bridges', 'Ellen Barkin', 'John Hurt']"
557,Farinelli: il castrato (1994),"['Stefano Dionisi', 'Enrico Lo Verso', 'Elsa Zylberstein']"
558,Heavenly Creatures (1994),"['Melanie Lynskey', 'Kate Winslet', 'Sarah Peirse']"
559,Interview with the Vampire (1994),"['Brad Pitt', 'Christian Slater', 'Virginia McCollam']"
560,A Kid in King Arthur's Court (1995),"['Thomas Ian Nicholas', 'Joss Ackland', 'Art Malik']"
561,Mary Shelley's Frankenstein (1994),"['Robert De Niro', 'Kenneth Branagh', 'Tom Hulce']"
562,The Quick and the Dead (1995),"['Sharon Stone', 'Gene Hackman', 'Russell Crowe']"
563,Stephen King's The Langoliers (1995),"['Patricia Wettig', 'Tom Holland', 'Kate Maberly']"
564,Tales from the Hood (1995),"['Clarence Williams III', 'Joe Torry', ""De'aundre Bonds""]"
565,Village of the Damned (1995),"['Christopher Reeve', 'Kirstie Alley', 'Linda Kozlowski']"
566,Clear and Present Danger (1994),"['Harrison Ford', 'Willem Dafoe', 'Anne Archer']"
567,Wes Craven's New Nightmare (1994),"['Jf Davis', 'Heather Langenkamp', 'Miko Hughes']"
568,Speed (1994),"['Keanu Reeves', 'Dennis Hopper', 'Sandra Bullock']"
569,Wolf (1994),"['Jack Nicholson', 'Michelle Pfeiffer', 'James Spader']"
570,Wyatt Earp (1994),"['Kevin Costner', 'Dennis Quaid', 'Gene Hackman']"
571,Another Stakeout (1993),"['Richard Dreyfuss', 'Emilio Estevez', ""Rosie O'Donnell""]"
572,Blown Away (1994),"['Jeff Bridges', 'Tommy Lee Jones', 'Suzy Amis']"
573,Body Snatchers (1993),"['Terry Kinney', 'Meg Tilly', 'Gabrielle Anwar']"
574,Boxing Helena (1993),"['Julian Sands', 'Sherilyn Fenn', 'Bill Paxton']"
575,City Slickers II: The Legend of Curly's Gold (1994),"['Billy Crystal', 'Daniel Stern', 'Jon Lovitz']"
576,Cliffhanger (1993),"['Sylvester Stallone', 'John Lithgow', 'Michael Rooker']"
577,Coneheads (1993),"['Robert Knott', 'Jonathan Penner', 'Whip Hubley']"
578,Demolition Man (1993),"['Sylvester Stallone', 'Wesley Snipes', 'Sandra Bullock']"
579,Fatal Instinct (1993),"['Armand Assante', 'Sherilyn Fenn', 'Kate Nelligan']"
580,But Englishman Who Went Up a Hill Mountain,"['Hugh Grant', 'Tara Fitzgerald', 'Colm Meaney']"
581,Kalifornia (1993),"['Brad Pitt', 'Kathy Larson', 'David Milford']"
582,The Piano (1993),"['Holly Hunter', 'Harvey Keitel', 'Sam Neill']"
583,Romeo Is Bleeding (1993),"['Gary Oldman', 'Wallace Wood', 'Juliette Lewis']"
584,The Secret Garden (1993),"['Kate Maberly', 'Heydon Prowse', 'Andrew Knott']"
585,Son in Law (1993),"['Pauly Shore', 'Carla Gugino', 'Lane Smith']"
586,Terminal Velocity (1994),"['Charlie Sheen', 'Nastassja Kinski', 'James Gandolfini']"
587,The Hour of the Pig (1993),"['Colin Firth', 'Ian Holm', 'Donald Pleasence']"
588,Beauty and the Beast (1991),"['Robby Benson', 'Jesse Corti', 'Rex Everhart']"
589,The Wild Bunch (1969),"['William Holden', 'Ernest Borgnine', 'Robert Ryan']"
590,Hellraiser: Bloodline (1996),"['Bruce Ramsay', 'Valentina Vargas', 'Doug Bradley']"
591,Primal Fear (1996),"['Richard Gere', 'Laura Linney', 'John Mahoney']"
592,True Crime (1995),"['Alicia Silverstone', 'Kevin Dillon', 'Bill Nunn']"
593,Stalingrad (1993),"['Dominique Horwitz', 'Thomas Kretschmann', 'Jochen Nickel']"
594,Heavy (1995),"['Pruitt Taylor Vince', 'Shelley Winters', 'Liv Tyler']"
595,The Fan (1996),"['Robert De Niro', 'Wesley Snipes', 'Ellen Barkin']"
596,The Hunchback of Notre Dame (1996),"['Jason Alexander', 'Mary Kay Bergman', 'Corey Burton']"
597,Eraser (1996),"['Arnold Schwarzenegger', 'James Caan', 'Vanessa Williams']"
598,The Big Squeeze (1996),"['Lara Flynn Boyle', 'Danny Nucci', 'Peter Dobson']"
599,Police Story 4: Project S (Chao ji ji hua) (1993),['Unknow']
